STARS FREQ POI ID
2 4 Chiesa_di_Santa_Maria_Formosa 86463514,86463494
2 5 Palazzo_Bembo 125382105
2 5 Giuseppe_Garibaldi 94978573
2 6 Chiesa_di_San_Pantalon 87456027
2 10 Chiesa_della_Madonna_dell'Orto 87167841
2 11 Museo_civico_di_storia_naturale_(Venezia) 44306552
2 12 Solomon_R._Guggenheim_Museum 41608560
2 14 Scuola_Grande_di_San_Giovanni_Evangelista 87319826
2 15 Ca'_Rezzonico 127814988
2 16 Chiesa_di_Santa_Maria_del_Giglio_(Venezia) 87288039
2 20 San_Polo_(sestiere_di_Venezia) 86462544
2 22 Basilica_dei_Santi_Giovanni_e_Paolo_(Venezia) 90277820
2 23 Museo_Correr 103307767
2 29 Ponte_della_Libert%C3%A0 108253584
2 33 Ponte_della_Costituzione 17500694
2 41 Basilica_di_Santa_Maria_Gloriosa_dei_Frari 87245658, 87245711
2 44 Ca'_d'Oro 92613309
2 44 Basilica_di_San_Giorgio_Maggiore 87145800
2 50 Ca'_Pesaro 2584722266
2 53 Biblioteca_Nazionale_Marciana 103415302
2 58 Ghetto_di_Venezia 653500, 16039772
2 85 Basilica_di_Santa_Maria_della_Salute 87120274, 25679866
2 102 Punta_della_Dogana 96097304
2 123 St_Mark's_Campanile 114466956
2 160 Bridge_of_Sighs 87240996
2 167 Peggy_Guggenheim_Collection 44184858
2 276 Ponte_dell'Accademia 8065638
2 298 Doge's_Palace 19848631
3 390 Arsenale_di_Venezia 21761125
3 798 St_Mark's_Basilica 87402989
3 603 Murano 8065635
4 853 Venice_Biennale 21828209
4 976 Rialto_(Venezia) 93779789
5 1696 Piazza_San_Marco 95337758
